Level,Number,Name,Area (SF),Room Category,Room Type Description
90-3 - Level 2,2338,NURSE STATION,125,RETAIL,Optical Shop
90-3 - Level 2,02ST03,STAIR 3,260,VERT,Stairs
90-3 - Level 2,2010,MEN'S  TLT,294,SERV,Public Restroom
90-3 - Level 2,2011,WOMEN'S TLT,288,SERV,Public Restroom
90-3 - Level 2,2012,JAN.,46,NON-CLINICAL,Storage - Clean
90-3 - Level 2,2013,ELECTRICAL,105,SERV,Electrical Room
90-3 - Level 2,2014,TELECOM,87,SERV,Information Services Closet
90-3 - Level 2,2316,STAFF LOUNGE,237,NON-CLINICAL,Storage - General
90-3 - Level 2,2319,STAFF TLT,79,CLINICAL,Patient Room Restroom
90-3 - Level 2,2007,BREAKDOWN,406,NON-CLINICAL,Storage - General
90-3 - Level 2,2204,STAFF LOUNGE,572,NON-CLINICAL,Lounge - Staff
90-3 - Level 2,2250,RESEARCH EXAM,242,CLINICAL,Exam Room
90-3 - Level 2,2103,PEDIATRIC EXAM,221,CLINICAL,Exam Room
90-3 - Level 2,2105,PEDIATRIC EXAM,237,CLINICAL,Exam Room
90-3 - Level 2,2107,PEDIATRIC EXAM - LEFT,237,CLINICAL,Exam Room
90-3 - Level 2,2251,RESEARCH EXAM,242,CLINICAL,Exam Room
90-3 - Level 2,2249,OCT,141,CLINICAL,Exam Room
90-3 - Level 2,2108,SPLY CART,83,NON-CLINICAL,Storage - General
90-3 - Level 2,2104,WAITING,285,CLINICAL,Waiting Area
90-3 - Level 2,2102,PLAY ROOM,196,CLINICAL,Waiting Area
90-3 - Level 2,2106,TEAM STATION,142,CLINICAL,Nurse Station
90-3 - Level 2,2284,IOL / PENT,101,NON-CLINICAL,Mother's Room
90-3 - Level 2,2108A,AUTOREFRACTOR ALCOVE,86,NON-CLINICAL,Storage - General
90-3 - Level 2,02ST04,STAIR 4,264,VERT,Stairs
90-3 - Level 2,2201,SUBWAITING,178,CLINICAL,Waiting Area
90-3 - Level 2,2401,PHLEB.,216,SERV,Circulation / Corridor
90-3 - Level 2,C2026,CORRIDOR,555,SERV,Circulation / Corridor
90-3 - Level 2,C2286,CORRIDOR,902,SERV,Circulation / Corridor
90-3 - Level 2,2101,PT TLT,72,CLINICAL,Patient Room Restroom
90-3 - Level 2,2002,WHEELCHAIRS,73,NON-CLINICAL,Storage - General
90-3 - Level 2,2247,SHELL,579,NON-CLINICAL,Shell Space
90-3 - Level 2,2230,SUB WAIT,20,CLINICAL,Waiting Area
90-3 - Level 2,2233,SUB WAIT,18,CLINICAL,Waiting Area
90-3 - Level 2,2253,SUB WAITING,44,CLINICAL,Waiting Area
90-3 - Level 2,2407,STORAGE,129,NON-CLINICAL,Storage - General
90-3 - Level 2,2209,SUB WAIT,482,CLINICAL,Waiting Area
90-3 - Level 2,2315,SOILED,166,NON-CLINICAL,Shell Space
90-3 - Level 2,2312,EMERGENCY ALCOVE,69,SERV,Mechanical Room
90-3 - Level 2,2301,MECH,126,SERV,Mechanical Room
90-3 - Level 2,2321,EXAM,127,SERV,Mechanical Room
90-3 - Level 2,2015,MECH,42,SERV,Mechanical Room
90-3 - Level 2,2248,MECH,86,SERV,Mechanical Room
90-3 - Level 2,2252,MECH,17,SERV,Mechanical Room
90-3 - Level 2,2261,MECH,25,SERV,Mechanical Room
90-3 - Level 2,2232,MECH,28,SERV,Mechanical Room
90-3 - Level 2,2231,MECH,29,SERV,Mechanical Room
90-3 - Level 2,2222,MECH,28,SERV,Mechanical Room
90-3 - Level 2,2212,MECH,17,SERV,Mechanical Room
90-3 - Level 2,2211,MECH,47,SERV,Mechanical Room
90-3 - Level 2,2254,MECH,30,SERV,Mechanical Room
90-3 - Level 2,2276,VIS FLDS,87,CLINICAL,Exam Room
90-3 - Level 2,2003,CENTRAL ATRIUM - OPEN TO BELOW & ABOVE,2790,VERT,Open
90-3 - Level 2,02ST02,STAIR 2,222,VERT,Stairs
90-3 - Level 2,02EL01,ELEV 1,72,VERT,Elevator
90-3 - Level 2,02EL02,ELEV 2,72,VERT,Elevator
90-3 - Level 2,02ST01,STAIR 1,Redundant Room,VERT,Stairs
90-3 - Level 2,02EL04,SERVICE ELEV,82,VERT,Elevator
90-3 - Level 2,C2287,CORRIDOR,1038,SERV,Circulation / Corridor
90-3 - Level 2,C2289,CORRIDOR,230,SERV,Circulation / Corridor
90-3 - Level 2,C2291,CORRIDOR,889,SERV,Circulation / Corridor
90-3 - Level 2,C2294,CORRIDOR,145,SERV,Circulation / Corridor
90-3 - Level 2,C2295,CORRIDOR,165,SERV,Circulation / Corridor
90-3 - Level 2,C2292,CORRIDOR,120,SERV,Circulation / Corridor
90-3 - Level 2,C2025,CORRIDOR,91,SERV,Circulation / Corridor
90-3 - Level 2,C2297,CORRIDOR,229,SERV,Circulation / Corridor
90-3 - Level 2,C2296,CORRIDOR,82,SERV,Circulation / Corridor
90-3 - Level 2,C2299,CORRIDOR,739,SERV,Circulation / Corridor
90-3 - Level 2,C2290,CORRIDOR,735,SERV,Circulation / Corridor
90-3 - Level 2,C2328,CORRIDOR,769,SERV,Circulation / Corridor
90-3 - Level 2,C2027,CORRIDOR,401,SERV,Circulation / Corridor
90-3 - Level 2,C2029,CORRIDOR,688,SERV,Circulation / Corridor
90-3 - Level 2,C2030,CORRIDOR,142,SERV,Circulation / Corridor
90-3 - Level 2,2004,WAITING,2225,CLINICAL,Waiting Area
90-3 - Level 2,02VP05,OPEN TO ABOVE & BELOW,1237,VERT,Open
90-3 - Level 2,C2032,CORRIDOR,133,SERV,Circulation / Corridor
90-3 - Level 2,C2323,CORRIDOR,526,SERV,Circulation / Corridor
90-3 - Level 2,C2327,CORRIDOR,134,SERV,Circulation / Corridor
90-3 - Level 2,C2324,CORRIDOR,138,SERV,Circulation / Corridor
90-3 - Level 2,C2325,CORRIDOR,139,SERV,Circulation / Corridor
90-3 - Level 2,02VP02,OPEN TO ABOVE & BELOW,145,VERT,open
90-3 - Level 2,02VP03,OPEN TO ABOVE & BELOW,145,VERT,Open
90-3 - Level 2,C2016,CORRIDOR,91,SERV,Circulation / Corridor
90-3 - Level 2,2202B,ADMIN,255,NON-CLINICAL,Office
90-3 - Level 2,2005,GI WAITING,619,NON-CLINICAL,Lobby
90-3 - Level 2,02ST01,STAIR 1,147,VERT,Stairs
90-3 - Level 2,2317,MECH,80,SERV,Mechanical Room
90-3 - Level 2,2318,EQUIP,66,NON-CLINICAL,Shell Space
90-3 - Level 2,2320.1,SHAFT,7,VERT,"Shaft, Duct"
90-3 - Level 2,2006.1,SHAFT,Redundant Room,VERT,"Shaft, Duct"
90-3 - Level 2,2500.1,SHAFT,7,VERT,"Shaft, Duct"
90-3 - Level 2,2500.2,SHAFT,6,VERT,"Shaft, Duct"
90-3 - Level 2,2500.3,SHAFT,5,VERT,"Shaft, Duct"
90-3 - Level 2,2500.4,SHAFT,8,VERT,"Shaft, Duct"
90-3 - Level 2,2283.1,SHAFT,15,VERT,"Shaft, Duct"
90-3 - Level 2,02VP01.1,SHAFT,113,VERT,"Shaft, Duct"
90-3 - Level 2,2314,MEDS,139,,
90-3 - Level 2,2313,CLEAN SUPPLY,154,,
90-3 - Level 2,2304,IOS PT TLT,101,,
90-3 - Level 2,2327,MECH,146,,
90-3 - Level 2,2302,VITALS ALCOVE,51,,
90-3 - Level 2,2332,NOURISH,54,,
90-3 - Level 2,2334,NURSE STATION,145,,
90-3 - Level 2,2309,PT TLT,76,,
90-3 - Level 2,2339,SCHEDULERS,153,,
90-3 - Level 2,2336,NURSE STATION,145,,
90-3 - Level 2,2311,EXAM,128,,
90-3 - Level 2,2310,EXAM,127,,
90-3 - Level 2,2271,TREATMENT / POS,207,,
90-3 - Level 2,2270,TREATMENT MED,206,,
90-3 - Level 2,2205,FUNDUS OPTOS OCT, OCT, OCT,541,CLINICAL,Exam Room
90-3 - Level 2,2289,PRACT. COORD.,94,,
90-3 - Level 2,2221,TEAM STATION,197,,
90-3 - Level 2,2286,TEAM STATION,203,,
90-3 - Level 2,2288,TEAM STATION,229,,
90-3 - Level 2,2236,GENERAL OFFICE SUPPLY,205,,
90-3 - Level 2,2278,RESEARCH LAB,163,,
90-3 - Level 2,2283,RESEARCH TEAM STATION,209,,
90-3 - Level 2,2308,EXAM,127,,
90-3 - Level 2,2307,EXAM,125,,
90-3 - Level 2,2306,EXAM,125,,
90-3 - Level 2,2305,EXAM,125,,
90-3 - Level 2,2285,SUB WAIT,39,,
90-3 - Level 2,1382,SUB WAIT,36,,
90-3 - Level 2,C2329,CORRIDOR,99,,
90-3 - Level 2,2110,QUIET / LACTATION,88,,
90-3 - Level 2,2203,MECH,39,SERV,Mechanical Room
90-3 - Level 2,C2288,CORRIDOR,212,,
90-3 - Level 2,C2300,CORRIDOR,132,,
90-3 - Level 3,3118,TEAM STATION,456,CLINICAL,Nurse Station
90-3 - Level 3,3301,WAITING AREA,303,CLINICAL,Waiting Area
90-3 - Level 3,3175,BUSINESS OFFICE,464,NON-CLINICAL,Office
90-3 - Level 3,03EL03,STAFF ELEVATOR,83,VERT,Elevator
90-3 - Level 3,3024,TELECOM,98,SERV,Information Services Closet
90-3 - Level 3,3023,ELECTRICAL,107,SERV,Electrical Room
90-3 - Level 3,3022,JAN.,42,NON-CLINICAL,Storage-Housekeeping
90-3 - Level 3,3021,MEN'S  TLT,292,SERV,Public Restroom
90-3 - Level 3,3020,WOMEN'S TOILET,290,SERV,Public Restroom
90-3 - Level 3,03ST03,STAIR 3,264,VERT,Stairs
90-3 - Level 3,3011,WOMEN'S TLT,297,SERV,Public Restroom
90-3 - Level 3,3010,MEN'S  TLT,298,SERV,Public Restroom
90-3 - Level 3,3014,TELECOM,87,SERV,Information Services Closet
90-3 - Level 3,3013,ELECTRICAL,105,SERV,Electrical Room
90-3 - Level 3,3012,JAN.,46,NON-CLINICAL,Storage-Housekeeping
90-3 - Level 3,03VP05,EAST ATRIUM,1239,VERT,Open
90-3 - Level 3,03VP01,CENTRAL ATRIUM - 4 STORY,2927,VERT,Open
90-3 - Level 3,3129,SOILED LINEN / TRASH,96,CLINICAL,Exam Room
90-3 - Level 3,3127,PA ROOM,148,CLINICAL,Exam Room
90-3 - Level 3,3168,EXAM,170,CLINICAL,Exam Room
90-3 - Level 3,3170,EXAM,170,CLINICAL,Exam Room
90-3 - Level 3,3113,EXAM,171,CLINICAL,Exam Room
90-3 - Level 3,3114,EXAM,171,CLINICAL,Exam Room
90-3 - Level 3,3115,EXAM,172,CLINICAL,Exam Room
90-3 - Level 3,3112,EQUIP STORAGE,115,CLINICAL,Exam Room
90-3 - Level 3,3169,EXAM,171,CLINICAL,Exam Room
90-3 - Level 3,3171,EXAM,171,CLINICAL,Exam Room
90-3 - Level 3,3116,EXAM,171,NON-CLINICAL,Office
90-3 - Level 3,3167,EXAM,182,CLINICAL,Exam Room
90-3 - Level 3,3126,YAG LASER,180,CLINICAL,Exam Room
90-3 - Level 3,3125,EXAM,164,CLINICAL,Exam Room
90-3 - Level 3,3124,EXAM,164,CLINICAL,Exam Room
90-3 - Level 3,3123,EXAM,165,CLINICAL,Exam Room
90-3 - Level 3,3122,EXAM,163,CLINICAL,Exam Room
90-3 - Level 3,3120,EXAM,165,CLINICAL,Exam Room
90-3 - Level 3,3166,EXAM,167,CLINICAL,Exam Room
90-3 - Level 3,3165,EXAM,166,CLINICAL,Exam Room
90-3 - Level 3,3164,EXAM,166,CLINICAL,Exam Room
90-3 - Level 3,3163,ARGON LASER,177,CLINICAL,Exam Room
90-3 - Level 3,3119,SUB WAIT,125,CLINICAL,Waiting Area
90-3 - Level 3,3172,SUB WAIT,42,CLINICAL,Waiting Area
90-3 - Level 3,3101,SCHED/CHK OUT,360,CLINICAL,Registration
90-3 - Level 3,3111,SUB WAIT,53,CLINICAL,Waiting Area
90-3 - Level 3,3121,STAFF LOUNGE,544,NON-CLINICAL,Lounge - Staff
90-3 - Level 3,3103,SUB WAIT,67,CLINICAL,Waiting Area
90-3 - Level 3,3100,SUB WAIT,183,CLINICAL,Waiting Area
90-3 - Level 3,3329,PED INFUS BAY,129,CLINICAL,Treatment Room
90-3 - Level 3,3330,PED INFUS BAY,127,CLINICAL,Treatment Room
90-3 - Level 3,3332,PED INFUS BAY,150,CLINICAL,Treatment Room
90-3 - Level 3,3333,INFUS BAY,151,CLINICAL,Treatment Room
90-3 - Level 3,3334,INFUS BAY,126,CLINICAL,Treatment Room
90-3 - Level 3,3335,INFUS BAY,131,CLINICAL,Treatment Room
90-3 - Level 3,3337,INFUS BAY,158,CLINICAL,Treatment Room
90-3 - Level 3,3338,INFUS BAY,158,CLINICAL,Treatment Room
90-3 - Level 3,3320,PROVIDER OFFICE,125,NON-CLINICAL,Office
90-3 - Level 3,3316,NURSING STATION,447,CLINICAL,Nurse Station
90-3 - Level 3,3307,NOUR,69,NON-CLINICAL,Nourishment Center
90-3 - Level 3,3312,INFUS BAY,110,CLINICAL,Treatment Room
90-3 - Level 3,3310,LDRSHP OFFICE,117,NON-CLINICAL,Office
90-3 - Level 3,3328,EQUIPMENT STORAGE,148,NON-CLINICAL,Storage - Equipment
90-3 - Level 3,3327,SOILED,140,NON-CLINICAL,Storage - Soiled
90-3 - Level 3,3326,CLEAN,274,NON-CLINICAL,Storage - Clean
90-3 - Level 3,3325,MED,124,CLINICAL,Medication Room
90-3 - Level 3,3324T,PRIVATE TLT,82,CLINICAL,Patient Room Restroom
90-3 - Level 3,3324,PRIVATE INFUS BAY,128,CLINICAL,Treatment Room
90-3 - Level 3,3321,TLT,79,CLINICAL,Patient Room Restroom
90-3 - Level 3,3319,INFUS BAY,112,CLINICAL,Treatment Room
90-3 - Level 3,3317,INFUS BAY,114,CLINICAL,Treatment Room
90-3 - Level 3,3315,INFUS BAY,113,CLINICAL,Treatment Room
90-3 - Level 3,3313,INFUS BAY,113,CLINICAL,Treatment Room
90-3 - Level 3,3311,INFUS BAY,113,CLINICAL,Treatment Room
90-3 - Level 3,3308,PT TLT,70,CLINICAL,Patient Room Restroom
90-3 - Level 3,3004,ELEVATOR STAGING,455,NON-CLINICAL,Storage - General
90-3 - Level 3,3314,LINEN,14,NON-CLINICAL,Storage - General
90-3 - Level 3,C3039,CORRIDOR,688,SERV,Circulation / Corridor
90-3 - Level 3,C3342,CORRIDOR,194,SERV,Circulation / Corridor
90-3 - Level 3,3302,CHECK IN/OUT,274,CLINICAL,Registration
90-3 - Level 3,C3031,CORRIDOR,414,SERV,Circulation / Corridor
90-3 - Level 3,C3501,CORRIDOR,387,SERV,Circulation / Corridor
90-3 - Level 3,C3034,CORRIDOR,508,SERV,Circulation / Corridor
90-3 - Level 3,3305,WHEELCHAIRS,26,NON-CLINICAL,Storage - General
90-3 - Level 3,3174,SUB WAIT,56,CLINICAL,Waiting Area
90-3 - Level 3,3323,ANTE ROOM,79,CLINICAL,Ante Room
90-3 - Level 3,3416,CLEAN ROOM NON HAZARDOUS,367,CLINICAL,Outpatient Pharmacy
90-3 - Level 3,3418,ANTE/PREP,136,CLINICAL,Outpatient Pharmacy
90-3 - Level 3,3419,CLEAN ROOM HAZARDOUS,132,CLINICAL,Outpatient Pharmacy
90-3 - Level 3,3408,NURSE INTAKE (4),191,NON-CLINICAL,Work Station
90-3 - Level 3,3402,MNGR,121,NON-CLINICAL,Office
90-3 - Level 3,3404,TECH MNGR,121,NON-CLINICAL,Office
90-3 - Level 3,3410,PHARM WORKRM (10),548,CLINICAL,Outpatient Pharmacy
90-3 - Level 3,3414,WAREHOUSE STORAGE,740,NON-CLINICAL,Storage - General
90-3 - Level 3,3415,PUMP/DME,209,CLINICAL,Clinical Work Room
90-3 - Level 3,3413,DRUG STORAGE,266,CLINICAL,Storage - Pharmacy
90-3 - Level 3,3417,CHECK,204,CLINICAL,Outpatient Pharmacy
90-3 - Level 3,3409,SHIP/DEL FULFILLMNT,453,NON-CLINICAL,Storage - General
90-3 - Level 3,3412,STAGING,365,NON-CLINICAL,Storage - General
90-3 - Level 3,3407,HOTELING (2),145,NON-CLINICAL,Office
90-3 - Level 3,C3420,CORRIDOR,664,SERV,Circulation / Corridor
90-3 - Level 3,3001,SHARED BREAKROOM,668,NON-CLINICAL,Break Room
90-3 - Level 3,3306,STAFF  TOILET,77,SERV,Staff Restroom
90-3 - Level 3,3309,WC/SCALE,33,NON-CLINICAL,Storage - General
90-3 - Level 3,3304,WOWS,20,CLINICAL,Storage - General
90-3 - Level 3,3331,CRASH CART ALCOVE,16,NON-CLINICAL,Storage - General
90-3 - Level 3,3405,CONFERENCE,208,NON-CLINICAL,Conference Room
90-3 - Level 3,3179,PRACTICE MANAGER,130,NON-CLINICAL,Office
90-3 - Level 3,3401,DIRECTOR,202,NON-CLINICAL,Office
90-3 - Level 3,3406,MAC (6),353,NON-CLINICAL,Storage - General
90-3 - Level 3,3318,MECH,35,SERV,Mechanical Room
90-3 - Level 3,3336,MECH,33,SERV,Mechanical Room
90-3 - Level 3,3303,MECH,13,SERV,Mechanical Room
90-3 - Level 3,3003,MECH,15,SERV,Mechanical Room
90-3 - Level 3,3403,MECH,18,SERV,Mechanical Room
90-3 - Level 3,3411,MECH,31,SERV,Mechanical Room
90-3 - Level 3,3102,MECH,17,SERV,Mechanical Room
90-3 - Level 3,3173,MECH,24,SERV,Mechanical Room
90-3 - Level 3,3109,MECH,20,SERV,Mechanical Room
90-3 - Level 3,3161,MECH,5,SERV,Mechanical Room
90-3 - Level 3,3151,MECH,21,SERV,Mechanical Room
90-3 - Level 3,03ST04,STAIR 4,266,VERT,Stairs
90-3 - Level 3,03VP02,OPEN TO BELOW,143,VERT,Open
90-3 - Level 3,03VP03,OPEN TO BELOW,145,VERT,Open
90-3 - Level 3,03ST02,STAIR 2,222,VERT,Stairs
90-3 - Level 3,03VP08,SOUTHWEST ATRIUM 2 STORY,1051,VERT,Open
90-3 - Level 3,3005,VESTIBULE,81,SERV,Circulation / Corridor
90-3 - Level 3,03VP07,OPEN TO BELOW,2740,VERT,Open
90-3 - Level 3,03VP09,OPEN TO BELOW,480,VERT,Open
90-3 - Level 3,03VP10,OPEN TO BELOW,558,VERT,Open
90-3 - Level 3,03VP11,OPEN TO BELOW,1387,VERT,Open
90-3 - Level 3,03VP06,OPEN TO BELOW,811,VERT,Open
90-3 - Level 3,C3038,CORRIDOR,155,SERV,Circulation / Corridor
90-3 - Level 3,C3340,CORRIDOR,166,SERV,Circulation / Corridor
90-3 - Level 3,C3339,CORRIDOR,155,SERV,Circulation / Corridor
90-3 - Level 3,C3341,CORRIDOR,568,SERV,Circulation / Corridor
90-3 - Level 3,C3040,CORRIDOR,91,SERV,Circulation / Corridor
90-3 - Level 3,C3041,CORRIDOR,216,SERV,Circulation / Corridor
90-3 - Level 3,C3344,CORRIDOR,275,SERV,Circulation / Corridor
90-3 - Level 3,C3343,CORRIDOR,95,SERV,Circulation / Corridor
90-3 - Level 3,C3345,CORRIDOR,549,SERV,Circulation / Corridor
90-3 - Level 3,C3517,CORRIDOR,628,SERV,Circulation / Corridor
90-3 - Level 3,C3518,CORRIDOR,170,SERV,Circulation / Corridor
90-3 - Level 3,C3502,CORRIDOR,489,SERV,Circulation / Corridor
90-3 - Level 3,C3503,CORRIDOR,90,SERV,Circulation / Corridor
90-3 - Level 3,C3508,CORRIDOR,371,SERV,Circulation / Corridor
90-3 - Level 3,C3507,CORRIDOR,121,SERV,Circulation / Corridor
90-3 - Level 3,C3506,CORRIDOR,478,SERV,Circulation / Corridor
90-3 - Level 3,C3504,CORRIDOR,206,SERV,Circulation / Corridor
90-3 - Level 3,C3516,CORRIDOR,385,SERV,Circulation / Corridor
90-3 - Level 3,C3515,CORRIDOR,397,SERV,Circulation / Corridor
90-3 - Level 3,C3505,CORRIDOR,151,SERV,Circulation / Corridor
90-3 - Level 3,C3514,CORRIDOR,341,SERV,Circulation / Corridor
90-3 - Level 3,C3033,CORRIDOR,569,SERV,Circulation / Corridor
90-3 - Level 3,C3032,CORRIDOR,458,SERV,Circulation / Corridor
90-3 - Level 3,C3037,CORRIDOR,273,SERV,Circulation / Corridor
90-3 - Level 3,03EL01,ELEV 1,139,VERT,Elevator
90-3 - Level 3,03EL02,ELEV 2,73,VERT,Elevator
90-3 - Level 3,03EL04,SERVICE ELEVATOR,101,VERT,Elevator
90-3 - Level 3,03VP04,EAST ATRIUM - OPEN TO BELOW,2204,VERT,Open
90-3 - Level 3,3322,POC TESTING,39,CLINICAL,Outpatient Lab
90-3 - Level 3,3101B,SCHED/CHK OUT,240,CLINICAL,Registration
90-3 - Level 3,03VP25,MECH. SHAFT,201,SERV,Mechanical Room
90-3 - Level 3,3328.1,MECH.,69,SERV,Mechanical Room
90-3 - Level 3,3419.1,HAZ. DRUG STOR.,65,CLINICAL,Pharmacy (In/Out Patient)
90-3 - Level 3,3318.1,SHAFT,10,VERT,"Shaft, Duct"
90-3 - Level 3,3303.1,SHAFT,10,VERT,"Shaft, Duct"
90-3 - Level 3,3409.1,SHAFT,10,VERT,"Shaft, Duct"
90-3 - Level 3,3403.1,SHAFT,14,VERT,"Shaft, Duct"
90-3 - Level 3,3180.1,SHAFT,14,VERT,"Shaft, Duct"
90-3 - Level 3,3160,SHELL SPACE,7474,,
90-3 - Level 3,3110,SOILED HOLDING,106,,
90-3 - Level 3,3130,IOL / PENT,149,,
90-3 - Level 3,3128,PA ROOM,149,,
90-3 - Level 3,3117,CRASH CART,22,,
90-3 - Level 3,3105,DICTATION,86,,
90-3 - Level 3,3104,WORKROOM,112,,
90-3 - Level 3,3181,FUNDUS OPTOS OCT,288,,
90-3 - Level 3,3106,MED / CLEAN,167,,
90-3 - Level 3,3107,TREATMENT,232,,
90-3 - Level 3,3108,TREATMENT,232,,
90-3 - Level 3,3177,VIS FIELD,87,,
90-3 - Level 3,3176,VIS FIELD,87,,
90-3 - Level 3,3178,MULTI-PURPOSE OFFICE,172,,
90-3 - Level 3,3180,SLIT LAMP OCT,172,,
90-3 - Level 3,3143.2,MECH,61,,
90-3 - Level 4,C4123,CORRIDOR,881,SERV,Circulation / Corridor
90-3 - Level 4,C4000,CORRIDOR,557,SERV,Circulation / Corridor
90-3 - Level 4,04ST04,STAIR 4,263,VERT,Stairs
90-3 - Level 4,4015,VESTIBULE,87,SERV,Circulation / Corridor
90-3 - Level 4,C4002,CORRIDOR,560,SERV,Circulation / Corridor
90-3 - Level 4,4202,STAFF LOUNGE,211,NON-CLINICAL,Storage - General
90-3 - Level 4,4204,ADMIN CONFERENCE ROOM,1670,NON-CLINICAL,Conference Room
90-3 - Level 4,4120,TOILET,65,SERV,Public Restroom
90-3 - Level 4,4121,A/V,32,NON-CLINICAL,Storage - Equipment
90-3 - Level 4,4205,PANTRY,118,NON-CLINICAL,Storage - General
90-3 - Level 4,4119,TOILET,76,SERV,Public Restroom
90-3 - Level 4,04EL03,STAFF ELEVATOR,84,VERT,Elevator
90-3 - Level 4,4024,TELECOM,97,SERV,Information Services Closet
90-3 - Level 4,4023,ELECTRICAL,107,SERV,Electrical Room
90-3 - Level 4,4022,JAN.,42,NON-CLINICAL,Storage-Housekeeping
90-3 - Level 4,4021,MEN'S  TLT,293,SERV,Public Restroom
90-3 - Level 4,4020,WOMEN'S TOILET,290,SERV,Public Restroom
90-3 - Level 4,4317,CONFERENCE,165,NON-CLINICAL,Conference Room
90-3 - Level 4,4318,RESEARCH & RESIDENT STORAGE,224,NON-CLINICAL,Storage - Office Supply
90-3 - Level 4,4301,CONFERENCE,165,NON-CLINICAL,Conference Room
90-3 - Level 4,4014,TELECOM,87,SERV,Information Services Closet
90-3 - Level 4,4013,ELECTRICAL,105,SERV,Electrical Room
90-3 - Level 4,4012,JAN.,45,NON-CLINICAL,Storage-Housekeeping
90-3 - Level 4,4011,WOMEN'S TOILET,294,SERV,Public Restroom
90-3 - Level 4,4010,MEN'S  TLT,295,SERV,Public Restroom
90-3 - Level 4,04ST03,STAIR 3,262,VERT,Stairs
90-3 - Level 4,04VP01,CENTRAL ATRIUM - 4 STORY,2982,VERT,Open
90-3 - Level 4,4203,A/V EQUIP.,564,NON-CLINICAL,Storage - Equipment
90-3 - Level 4,4102,VICE CHAIR RESEARCH,111,NON-CLINICAL,Office
90-3 - Level 4,4114,CONFERENCE,201,NON-CLINICAL,Conference Room
90-3 - Level 4,4104,VICE CHAIR CLINICAL,204,NON-CLINICAL,Office
90-3 - Level 4,4106,BUSINESS ADMINISTRATOR,104,NON-CLINICAL,Office
90-3 - Level 4,C4121,CORRIDOR,759,SERV,Circulation / Corridor
90-3 - Level 4,4311,ACADEMIC VICE CHAIR,88,NON-CLINICAL,Office
90-3 - Level 4,4310,LACTATION,86,NON-CLINICAL,Mother's Room
90-3 - Level 4,4312,RESIDENCY PROGRAM DIRECTOR,209,NON-CLINICAL,Office
90-3 - Level 4,4309,COPY/WORK,234,NON-CLINICAL,Mailroom
90-3 - Level 4,4304,HYDRATION /COFFEE,234,NON-CLINICAL,Break Room
90-3 - Level 4,4302,RESIDENT LAB,379,CLINICAL,Research Lab
90-3 - Level 4,4201,PREFUNCTION,247,NON-CLINICAL,Auditorium
90-3 - Level 4,4112,CHAIR,204,NON-CLINICAL,Office
90-3 - Level 4,4205,ROOF TERRACE,228,NON-CLINICAL,Auditorium
90-3 - Level 4,4313,RESIDENTS & FELLOWS LOUNGE,421,NON-CLINICAL,Break Room
90-3 - Level 4,4316,RESIDENTS WORK AREA,698,NON-CLINICAL,Work Area
90-3 - Level 4,4315,OPEN COLLAB,217,NON-CLINICAL,Work station
90-3 - Level 4,4308,HOTELING,96,NON-CLINICAL,Work Area
90-3 - Level 4,4307,FELLOWS,638,NON-CLINICAL,Office
90-3 - Level 4,4101,WAITING,395,CLINICAL,Waiting Area
90-3 - Level 4,4110,HOTELING,109,NON-CLINICAL,Work Area
90-3 - Level 4,4314,ADMIN WORK AREA,317,NON-CLINICAL,Office
90-3 - Level 4,4103,ADMIN,153,NON-CLINICAL,Office
90-3 - Level 4,C4001,CORRIDOR,409,SERV,Circulation / Corridor
90-3 - Level 4,04VP03,OPEN TO BELOW,144,VERT,Open
90-3 - Level 4,04VP02,OPEN TO BELOW,145,VERT,Open
90-3 - Level 4,04EL04,SERVICE ELEV,82,VERT,Elevator
90-3 - Level 4,04EL01,ELEV 1,72,VERT,Elevator
90-3 - Level 4,04EL02,ELEV 2,73,VERT,Elevator
90-3 - Level 4,04ST01,STAIR 1,89,VERT,Stairs
90-3 - Level 4,C4122,CORRIDOR,90,SERV,Circulation / Corridor
90-3 - Level 4,C4016,CORRIDOR,89,SERV,Circulation / Corridor
90-3 - Level 4,4107,COPY / HYDRATION / COFFEE,382,NON-CLINICAL,Break Room
90-3 - Level 4,C4321,CORRIDOR,212,SERV,Circulation / Corridor
90-3 - Level 4,C4325,CORRIDOR,179,SERV,Circulation / Corridor
90-3 - Level 4,C4326,CORRIDOR,105,SERV,Circulation / Corridor
90-3 - Level 4,C4324,CORRIDOR,635,SERV,Circulation / Corridor
90-3 - Level 4,C4322,CORRIDOR,593,SERV,Circulation / Corridor
90-3 - Level 4,C4323,CORRIDOR,129,SERV,Circulation / Corridor
90-3 - Level 4,4204A,CLOSET,22,NON-CLINICAL,Storage - General
90-3 - Level 4,C4124,CORRIDOR,37,SERV,Circulation / Corridor
90-3 - Level 4,4305,RESEARCH,740,NON-CLINICAL,Office
90-3 - Level 4,4115,FACULTY,277,NON-CLINICAL,Work station
90-3 - Level 4,4113,FACULTY,465,NON-CLINICAL,Office Work Room
90-3 - Level 4,4116,FACULTY,430,NON-CLINICAL,Office Work Room
90-3 - Level 4,4111,ADMIN,196,NON-CLINICAL,Work station
90-3 - Level 4,4117,FACULTY,324,NON-CLINICAL,Work Area
90-3 - Level 4,4105,FACULTY,444,NON-CLINICAL,Office Work Room
